State,Year,EC,,,,,,,,
Utah,2004,5,,,,,,,,
Vermont,2004,3,,,,,,,,
Virginia,2004,13,,,,,,,,
Washington,2004,11,,,,,,,,
West Virginia,2004,5,,,,,,,,
Wisconsin,2004,10,,,,,,,,
Wyoming,2004,3,,,,,,,,
Alabama,2008,9,,,,,,,,
Alaska,2008,3,,,,,,,,
Arizona,2008,10,,,,,,,,
Arkansas,2008,6,,,,,,,,
California,2008,55,,,,,,,,
Colorado,2008,9,,,,,,,,
Connecticut,2008,7,,,,,,,,
District of Columbia,2008,3,,,,,,,,
Delaware,2008,3,,,,,,,,
Florida,2008,27,,,,,,,,
Georgia,2008,15,,,,,,,,
Hawaii,2008,4,,,,,,,,
Idaho,2008,4,,,,,,,,
Illinois,2008,21,,,,,,,,
Indiana,2008,11,,,,,,,,
Iowa,2008,7,,,,,,,,
Kansas,2008,6,,,,,,,,
Kentucky,2008,8,,,,,,,,
Louisiana,2008,9,,,,,,,,
Maine,2008,4,,,,,,,,
Maryland,2008,10,,,,,,,,
Massachusetts,2008,12,,,,,,,,
Michigan,2008,17,,,,,,,,
Minnesota,2008,10,,,,,,,,
Mississippi,2008,6,,,,,,,,
Missouri,2008,11,,,,,,,,
Montana,2008,3,,,,,,,,
Nebraska,2008,5,,,,,,,,
Nevada,2008,5,,,,,,,,
New Hampshire,2008,4,,,,,,,,
New Jersey,2008,15,,,,,,,,
New Mexico,2008,5,,,,,,,,
New York,2008,31,,,,,,,,
North Carolina,2008,15,,,,,,,,
North Dakota,2008,3,,,,,,,,
Ohio,2008,20,,,,,,,,
Oklahoma,2008,7,,,,,,,,
Oregon,2008,7,,,,,,,,
Pennsylvania,2008,21,,,,,,,,
Rhode Island,2008,4,,,,,,,,
South Carolina,2008,8,,,,,,,,
South Dakota,2008,3,,,,,,,,
Tennessee,2008,11,,,,,,,,
Texas,2008,34,,,,,,,,
Utah,2008,5,,,,,,,,
Vermont,2008,3,,,,,,,,
Virginia,2008,13,,,,,,,,
Washington,2008,11,,,,,,,,
West Virginia,2008,5,,,,,,,,
Wisconsin,2008,10,,,,,,,,
Wyoming,2008,3,,,,,,,,
Alabama,2012,9,,,,,,,,
Alaska,2012,3,,,,,,,,
Arizona,2012,11,,,,,,,,
Arkansas,2012,6,,,,,,,,
California,2012,55,,,,,,,,
Colorado,2012,9,,,,,,,,
Connecticut,2012,7,,,,,,,,
District of Columbia,2012,3,,,,,,,,
Delaware,2012,3,,,,,,,,
Florida,2012,29,,,,,,,,
Georgia,2012,16,,,,,,,,
Hawaii,2012,4,,,,,,,,
Idaho,2012,4,,,,,,,,
Illinois,2012,20,,,,,,,,
Indiana,2012,11,,,,,,,,
Iowa,2012,6,,,,,,,,
Kansas,2012,6,,,,,,,,
Kentucky,2012,8,,,,,,,,
Louisiana,2012,8,,,,,,,,
Maine,2012,4,,,,,,,,
Maryland,2012,10,,,,,,,,
Massachusetts,2012,11,,,,,,,,
Michigan,2012,16,,,,,,,,
Minnesota,2012,10,,,,,,,,
Mississippi,2012,6,,,,,,,,
Missouri,2012,10,,,,,,,,
Montana,2012,3,,,,,,,,
Nebraska,2012,5,,,,,,,,
Nevada,2012,6,,,,,,,,
New Hampshire,2012,4,,,,,,,,
New Jersey,2012,14,,,,,,,,
New Mexico,2012,5,,,,,,,,
New York,2012,29,,,,,,,,
North Carolina,2012,15,,,,,,,,
North Dakota,2012,3,,,,,,,,
Ohio,2012,18,,,,,,,,
Oklahoma,2012,7,,,,,,,,
Oregon,2012,7,,,,,,,,
Pennsylvania,2012,20,,,,,,,,
Rhode Island,2012,4,,,,,,,,
South Carolina,2012,9,,,,,,,,
South Dakota,2012,3,,,,,,,,
Tennessee,2012,11,,,,,,,,
Texas,2012,38,,,,,,,,
Utah,2012,6,,,,,,,,
Vermont,2012,3,,,,,,,,
Virginia,2012,13,,,,,,,,
Washington,2012,12,,,,,,,,
West Virginia,2012,5,,,,,,,,
Wisconsin,2012,10,,,,,,,,
Wyoming,2012,3,,,,,,,,
Alabama,2016,9,,,,,,,,
Alaska,2016,3,,,,,,,,
Arizona,2016,11,,,,,,,,
Arkansas,2016,6,,,,,,,,
California,2016,55,,,,,,,,
Colorado,2016,9,,,,,,,,
Connecticut,2016,7,,,,,,,,
District of Columbia,2016,3,,,,,,,,
Delaware,2016,3,,,,,,,,
Florida,2016,29,,,,,,,,
Georgia,2016,16,,,,,,,,
Hawaii,2016,4,,,,,,,,
Idaho,2016,4,,,,,,,,
Illinois,2016,20,,,,,,,,
Indiana,2016,11,,,,,,,,
Iowa,2016,6,,,,,,,,
Kansas,2016,6,,,,,,,,
Kentucky,2016,8,,,,,,,,
Louisiana,2016,8,,,,,,,,
Maine,2016,4,,,,,,,,
Maryland,2016,10,,,,,,,,
Massachusetts,2016,11,,,,,,,,
Michigan,2016,16,,,,,,,,
Minnesota,2016,10,,,,,,,,
Mississippi,2016,6,,,,,,,,
Missouri,2016,10,,,,,,,,
Montana,2016,3,,,,,,,,
Nebraska,2016,5,,,,,,,,
Nevada,2016,6,,,,,,,,
New Hampshire,2016,4,,,,,,,,
New Jersey,2016,14,,,,,,,,
New Mexico,2016,5,,,,,,,,
New York,2016,29,,,,,,,,
North Carolina,2016,15,,,,,,,,
North Dakota,2016,3,,,,,,,,
Ohio,2016,18,,,,,,,,
Oklahoma,2016,7,,,,,,,,
Oregon,2016,7,,,,,,,,
Pennsylvania,2016,20,,,,,,,,
Rhode Island,2016,4,,,,,,,,
South Carolina,2016,9,,,,,,,,
South Dakota,2016,3,,,,,,,,
Tennessee,2016,11,,,,,,,,
Texas,2016,38,,,,,,,,
Utah,2016,6,,,,,,,,
Vermont,2016,3,,,,,,,,
Virginia,2016,13,,,,,,,,
Washington,2016,12,,,,,,,,
West Virginia,2016,5,,,,,,,,
Wisconsin,2016,10,,,,,,,,
Wyoming,2016,3,,,,,,,,
Alabama,2020,9,,,,,,,,
Alaska,2020,3,,,,,,,,
Arizona,2020,11,,,,,,,,
Arkansas,2020,6,,,,,,,,
California,2020,55,,,,,,,,
Colorado,2020,9,,,,,,,,
Connecticut,2020,7,,,,,,,,
District of Columbia,2020,3,,,,,,,,
Delaware,2020,3,,,,,,,,
Florida,2020,29,,,,,,,,
Georgia,2020,16,,,,,,,,
Hawaii,2020,4,,,,,,,,
Idaho,2020,4,,,,,,,,
Illinois,2020,20,,,,,,,,
Indiana,2020,11,,,,,,,,
Iowa,2020,6,,,,,,,,
Kansas,2020,6,,,,,,,,
Kentucky,2020,8,,,,,,,,
Louisiana,2020,8,,,,,,,,
Maine,2020,4,,,,,,,,
Maryland,2020,10,,,,,,,,
Massachusetts,2020,11,,,,,,,,
Michigan,2020,16,,,,,,,,
Minnesota,2020,10,,,,,,,,
Mississippi,2020,6,,,,,,,,
Missouri,2020,10,,,,,,,,
Montana,2020,3,,,,,,,,
Nebraska,2020,5,,,,,,,,
Nevada,2020,6,,,,,,,,
New Hampshire,2020,4,,,,,,,,
New Jersey,2020,14,,,,,,,,
New Mexico,2020,5,,,,,,,,
New York,2020,29,,,,,,,,
North Carolina,2020,15,,,,,,,,
North Dakota,2020,3,,,,,,,,
Ohio,2020,18,,,,,,,,
Oklahoma,2020,7,,,,,,,,
Oregon,2020,7,,,,,,,,
Pennsylvania,2020,20,,,,,,,,
Rhode Island,2020,4,,,,,,,,
South Carolina,2020,9,,,,,,,,
South Dakota,2020,3,,,,,,,,
Tennessee,2020,11,,,,,,,,
Texas,2020,38,,,,,,,,
Utah,2020,6,,,,,,,,
Vermont,2020,3,,,,,,,,
Virginia,2020,13,,,,,,,,
Washington,2020,12,,,,,,,,
West Virginia,2020,5,,,,,,,,
Wisconsin,2020,10,,,,,,,,
Wyoming,2020,3,,,,,,,,
